# File Name: /shared/data/ui/current_run/20230223_JSRe0151_154845_20240223_181819.eds,,,,,,,,,,,,,,,,,,,,,,,,
# Comment: ,,,,,,,,,,,,,,,,,,,,,,,,
# Operator: Jacob R.,,,,,,,,,,,,,,,,,,,,,,,,
# Barcode: ,,,,,,,,,,,,,,,,,,,,,,,,
# Instrument Type: QuantStudio™ 6 Pro System,,,,,,,,,,,,,,,,,,,,,,,,
# Block Type: 384-Well Block,,,,,,,,,,,,,,,,,,,,,,,,
# Instrument Name: QS6Pro-2778623040011,,,,,,,,,,,,,,,,,,,,,,,,
# Instrument Serial Number: 2778623040011,,,,,,,,,,,,,,,,,,,,,,,,
# Heated Cover Serial Number: 2779323032462,,,,,,,,,,,,,,,,,,,,,,,,
# Block Serial Number: 2778323042733,,,,,,,,,,,,,,,,,,,,,,,,
# Run Start Date/Time: 2024-02-23 06:20:24 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
# Run End Date/Time: 2024-02-23 08:03:20 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
# Run Duration: 102 minutes 56 seconds,,,,,,,,,,,,,,,,,,,,,,,,
# Sample Volume: 15.0,,,,,,,,,,,,,,,,,,,,,,,,
# Cover Temperature: 105.0,,,,,,,,,,,,,,,,,,,,,,,,
# Passive Reference: NONE,,,,,,,,,,,,,,,,,,,,,,,,
# PCR Stage/Step Number: Stage 2 Step 2,,,,,,,,,,,,,,,,,,,,,,,,
# Melt Stage Number: 3,,,,,,,,,,,,,,,,,,,,,,,,
# Quantification Cycle Method: CT,,,,,,,,,,,,,,,,,,,,,,,,
# Analysis Date/Time: 2024-02-23 08:03:45 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
# Exported On: 2024-02-23 08:03:47 PM EST,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4
63,C15,FALSE,water_na_na,Coilin_JSRi201-202,UNKNOWN,SYBR,None,Amp,2.74593438,,,33.38727518,0.983442304,33.38727518,,TRUE,58962.94996,TRUE,3,22,78.12670135,,,
97,E1,FALSE,JSRp033_PolyA_2000,RNU1_JSRi205-206,UNKNOWN,SYBR,None,Amp,2.804960262,,,25.31321048,0.987875499,25.31321048,,TRUE,66176.60638,TRUE,3,16,83.52736664,,,
98,E2,FALSE,JSRp033_PolyA_200,RNU1_JSRi205-206,UNKNOWN,SYBR,None,Amp,2.800686003,,,20.04006636,0.984406769,20.04006636,,TRUE,66176.60638,TRUE,3,10,83.43582153,,,
99,E3,FALSE,JSRp033_PolyA_20,RNU1_JSRi205-206,UNKNOWN,SYBR,None,Amp,2.793525917,,,16.07983109,0.987257513,16.07983109,,TRUE,66176.60638,TRUE,3,8,83.43582153,,,
108,E12,FALSE,JSRp033_RandHex_2000,RNU1_JSRi205-206,UNKNOWN,SYBR,None,Amp,2.78205082,,,21.53037426,0.989721818,21.53037426,,TRUE,66176.60638,TRUE,3,13,83.616745,,,
109,E13,FALSE,JSRp033_RandHex_200,RNU1_JSRi205-206,UNKNOWN,SYBR,None,Amp,2.775546597,,,18.17760372,0.985733457,18.17760372,,TRUE,66176.60638,TRUE,3,9,83.61952209,,,
110,E14,FALSE,JSRp033_RandHex_20,RNU1_JSRi205-206,UNKNOWN,SYBR,None,Amp,2.768173038,,,15.10858699,0.986784422,15.10858699,,TRUE,66176.60638,TRUE,3,9,83.61952209,,,
111,E15,FALSE,water_na_na,RNU1_JSRi205-206,UNKNOWN,SYBR,None,Amp,2.771160246,,,33.63132437,0.987896342,33.63132437,,TRUE,66176.60638,TRUE,3,24,83.34487915,,,
147,G3,FALSE,JSRp033_PolyA_20,Actin_JSRi032-033,UNKNOWN,SYBR,None,Amp,2.794871244,,,15.22854968,0.984178947,15.22854968,,TRUE,62266.73186,TRUE,3,8,86.27370453,,,
148,G4,FALSE,JSRp078_PolyA_20,Actin_JSRi032-033,UNKNOWN,SYBR,None,Amp,2.800068307,,,15.5522887,0.981911974,15.5522887,,TRUE,62266.73186,TRUE,3,9,86.27370453,,,
149,G5,FALSE,JSRp079_PolyA_20,Actin_JSRi032-033,UNKNOWN,SYBR,None,Amp,2.800132351,,,15.24336784,0.986403832,15.24336784,,TRUE,62266.73186,TRUE,3,7,86.3639679,,,
150,G6,FALSE,JSRp083_PolyA_20,Actin_JSRi032-033,UNKNOWN,SYBR,None,Amp,2.781613948,,,15.84491258,0.989846151,15.84491258,,TRUE,62266.73186,TRUE,3,9,86.3639679,,,
151,G7,FALSE,JSRp085_PolyA_20,Actin_JSRi032-033,UNKNOWN,SYBR,None,Amp,2.775838547,,,16.47719186,0.984281137,16.47719186,,TRUE,62266.73186,TRUE,3,8,86.3639679,,,
152,G8,FALSE,DMSO-4day_PolyA_20,Actin_JSRi032-033,UNKNOWN,SYBR,None,Amp,2.764645633,,,16.33008187,0.983289808,16.33008187,,TRUE,62266.73186,TRUE,3,9,86.3639679,,,
153,G9,FALSE,GSK591-4day_PolyA_20,Actin_JSRi032-033,UNKNOWN,SYBR,None,Amp,2.79144987,,,16.45928739,0.985078676,16.45928739,,TRUE,62266.73186,TRUE,3,10,86.36283112,,,
154,G10,FALSE,MS023-4day_PolyA_20,Actin_JSRi032-033,UNKNOWN,SYBR,None,Amp,2.771151457,,,16.16064049,0.986247972,16.16064049,,TRUE,62266.73186,TRUE,3,8,86.36283112,,,
155,G11,FALSE,GSK591-MS023-4day_PolyA_20,Actin_JSRi032-033,UNKNOWN,SYBR,None,Amp,2.77551486,,,18.12133946,0.979919798,18.12133946,,TRUE,62266.73186,TRUE,3,11,86.36283112,,,
159,G15,FALSE,water_na_na,Actin_JSRi032-033,UNKNOWN,SYBR,None,No Amp,0,,,Undetermined,0,,,TRUE,62266.73186,TRUE,3,39,85.54200745,88.929245,82.61250305,75.01409912
193,I1,FALSE,JSRp033_PolyA_2000,H1-5_JSRi222-223,UNKNOWN,SYBR,None,Amp,2.808519839,,,33.8591622,0.988999142,33.8591622,,TRUE,72029.88193,TRUE,3,24,89.47776794,,,
194,I2,FALSE,JSRp033_PolyA_200,H1-5_JSRi222-223,UNKNOWN,SYBR,None,Amp,2.793242383,,,26.69598264,0.990640815,26.69598264,,TRUE,72029.88193,TRUE,3,18,89.29467773,,,
195,I3,FALSE,JSRp033_PolyA_20,H1-5_JSRi222-223,UNKNOWN,SYBR,None,Amp,2.812504641,,,21.19917941,0.968354497,21.19917941,,TRUE,72029.88193,TRUE,3,15,89.29467773,,,
204,I12,FALSE,JSRp033_RandHex_2000,H1-5_JSRi222-223,UNKNOWN,SYBR,None,Amp,2.793553399,,,27.00777772,0.981300795,27.00777772,,TRUE,72029.88193,TRUE,3,17,89.56660461,,,
205,I13,FALSE,JSRp033_RandHex_200,H1-5_JSRi222-223,UNKNOWN,SYBR,None,Amp,2.787375863,,,23.33003488,0.986105537,23.33003488,,TRUE,72029.88193,TRUE,3,11,89.57006836,,,
206,I14,FALSE,JSRp033_RandHex_20,H1-5_JSRi222-223,UNKNOWN,SYBR,None,Amp,2.779967061,,,20.18346176,0.976185973,20.18346176,,TRUE,72029.88193,TRUE,3,12,89.57006836,,,
207,I15,FALSE,water_na_na,H1-5_JSRi222-223,UNKNOWN,SYBR,None,Inconclusive,2.529683952,,,38,0.957459871,38,,TRUE,72029.88193,TRUE,3,26,77.11968231,,,
